Clinic Name,City,State,Website,Phone,Notes
North Texas Plastic Surgery,Dallas,TX,northtexasplasticsurgery.com,,Med Spa - semaglutide weight loss
Texas Weight Loss Center,Central TX,TX,txweightlosscenter.com,254-xxx-xxxx,Semaglutide program
Women's Wellness Institute,Dallas,TX,womenswellnessinstitute.com,,FDA-approved weight loss injections
Clinic 45,Houston,TX,clinic45.com,,Personalized semaglutide care
Rejuvenate IV Bar,McKinney,TX,rejuvenateivbar.com,,Same-day appointments
Hillcroft Physicians,Houston,TX,hillcroftphysicians.com,,Semaglutide for weight loss
Foundation Pain & Spine,Dallas,TX,foundationpainspine.com,,Dr. Thompson - semaglutide
Lush RX Med Spa,Houston,TX,lushrx.com,,$399/mo oral semaglutide
Injectco,Dallas,TX,injectco.com,,$425/mo semaglutide program
Dr. Camille Cash,Houston,TX,camillecashmd.com,,#CashedOut semaglutide program
Khrom MedSpa,Coral Springs,FL,khrommedspaflorida.com,,Virtual consultations statewide
Florida Premier Wellness,Tampa,FL,flpwmg.com,,Mounjaro/tirzepatide
Florida Surgery & Weight Loss,Hollywood,FL,floridaweightlossmd.com,,Statewide telehealth
Miami Bariatric & Plastic Surgery,Miami,FL,miamibariatricplasticsurgery.com,,Dr. Terushkin - 15-40 lbs results
Roots Wellness,Tampa,FL,rootstampa.com,,Tirzepatide - up to 20% weight loss
Florida Regenerative Medicine,Statewide,FL,floridaregenerative.com,,Self-inject therapy program
The Sosa Clinic,Miami,FL,bariatricsurgeryspecialist.com,,22.5% average weight loss
Fidelity Medical Clinic,FL Telehealth,FL,fidelitymedicalclinic.com,,Lowest price tirzepatide in FL
ContinuEM Urgent Care,Lakewood,CA,continuemurgentcare.com,,LA & Orange County - extended hours
Contour Medical Spa,Northridge,CA,contourmedspa.com,,10-15% avg weight loss
Be Well Berlin,Los Angeles,CA,bewellberlin.com,,Telehealth statewide CA
Cienega Medical,Los Angeles,CA,cienegaspa.com,,LA/Santa Monica/Calabasas
Gameday Men's Health,Beverly Hills,CA,gamedaymenshealth.com,,Men's health focus
Aesthetica Medical Spa,San Diego,CA,aestheticamedspasd.com,,Hillcrest location
Adonis Saremi MD,La Jolla,CA,adonissaremimd.com,,Triple board-certified
Dr. Erica Oberg,San Diego,CA,drericaoberg.com,,Telehealth + holistic approach
Moradi MD,San Diego,CA,moradimd.com,,Luxury facility - Carlsbad area
Medical Weight Loss Centers of AZ,Scottsdale,AZ,medweightlossaz.com,,$299/mo semaglutide
Valley Spinal Care,Scottsdale,AZ,valleyspinalcare.com,,Personalized diet/exercise plans
SemaglutidePhysician,Scottsdale,AZ,semaglutidephysician.com,480-331-2699,Mobile service - home visits
Vitality Med Spa,Phoenix,AZ,vitalitymedspa.com,,Multiple AZ locations
Tirzepatide Clinic,Scottsdale,AZ,tirzepatide.clinic,,Dr. Shacket - same-day treatment
Natural Endocrinology Specialists,Scottsdale,AZ,nesaz.com,480-687-0054,Dr. Linda Khoshaba
Phoenix NP,AZ Telehealth,AZ,phoenixnp.com,,$99/mo telehealth
BritePath Medical,Phoenix,AZ,britepathmedical.com,,Telehealth for all AZ residents
CasaGlow,Manhattan,NY,casaglow.com,,Flatiron District
Medical Offices of Manhattan,Multiple NYC,NY,medicalofficesofmanhattan.com,,4 Manhattan locations
Elite Aesthetics,Upper East Side,NY,eliteaestheticsnyc.com,,Free consultations
Central Park Aesthetique,Midtown,NY,centralparkaesthetique.com,,Premier medical spa
Dr. John Salerno,Manhattan,NY,salernowellness.com,,Personalized treatments
Dr. Dana Cohen MD,Manhattan,NY,drdanacohen.com,,Leading integrative physician
Dr. Barry Weintraub,NYC,NY,drbarryweintraub.com,646-470-0918,Medically supervised
+advitam,NYC,NY,myadvitam.com,,Metabolic Optimization specialty
Relive Health,Upper West Side,NY,relivehealth.com,,Same-day prescriptions
Rebalance NYC,Madison Ave,NY,rebalancenyc.com,,635 Madison Ave
Elevate Wellness Clinic,Atlanta,GA,elevateatl.com,,Dr. Powell
Charette Cosmetics,Atlanta,GA,charettecosmetics.com,,Expert-guided treatments
Dr. Tom Lintner,Marietta,GA,tomlintnermd.com,,Patient-focused environment
Peachtree Women's Clinic,Atlanta,GA,peachtreewomensclinic.com,,<$200/mo compounded
Healthy Transformations,Atlanta,GA,healthytransformationsga.com,,Body contouring + GLP-1
NYAH Med Spa,Alpharetta,GA,nyahmedspa.com,,3 Atlanta area locations
Relive Health Chamblee,Atlanta,GA,relivehealth.com,,Chamblee location
Georgia Plastic Surgery,Atlanta,GA,georgiaplastic.com,,Dr. Stanley Okoro
